id,author,created_at,text
1396532687905644544,ABaerbock,2021-05-23T18:25:13.000Z,"Es braucht ein neues Sanktionspaket der EU, mit dem auch belarusische Staatsunternehmen sanktioniert werden, die Lukaschenkos Rückgrat bilden und die bereits von den USA auf ihre Sanktionsliste genommen wurden. 3/3"
1396532686588624902,ABaerbock,2021-05-23T18:25:13.000Z,"Diese beispiellose Eskalation, Bedrohung unserer Freiheit in Europa und massive Gefährdung der europäischen zivilen Luffahrt kann die Europäische Union nicht hinnehmen. 2/3"
1396532685280010247,ABaerbock,2021-05-23T18:25:13.000Z,"Die erzwungene Landung kommt einer staatlichen Entführung eines Passagierflugzeuges gleich, um einen Regimekritiker festzunehmen. Wir fordern die sofortige Freilassung von #Protasevich. Er muss umgehend und sicher ausreisen können. Genau wie die anderen politischen Gefangenen.1/3"
1394685433209106434,ABaerbock,2021-05-18T16:04:53.000Z,"Es wäre ein starkes Zeichen, wenn 🇺🇸 und 🇩🇪 gemeinsam auf der #COP26 in Glasgow konkrete Maßnahmen für die nächsten Jahre vorstellen würden. Es geht nicht um Klimaziele in ferner Zukunft, sondern um konkretes Handeln in diesem Jahrzehnt. Darüber hab ich mit @JohnKerry gesprochen. https://t.co/IHcyMxlZMx"
1393217347930963968,ABaerbock,2021-05-14T14:51:15.000Z,"Herzlichen Glückwunsch zur Wiederwahl, lieber @c_lindner. Auf einen fairen politischen Wettbewerb um die besten Ideen fürs Land! #btw21"
1392803354728968193,ABaerbock,2021-05-13T11:26:11.000Z,"RT @Die_Gruenen: ""Wenn wie jetzt israelische Flaggen vor Synagogen verbrannt oder Steine auf jüdische Gotteshäuser geworfen werden, müssen…"
1392427972167143428,ABaerbock,2021-05-12T10:34:33.000Z,"Herzlichen Glückwunsch, lieber Winfried Kretschmann. Ich wünsche dir gutes Gelingen und viel Erfolg für deine dritte Amtszeit. Glückwunsch auch an die grünen Ministerinnen und Minister - ein starkes Team für Baden-Württemberg. Ich freue mich auf die Zusammenarbeit mit euch."
1392216000666476546,ABaerbock,2021-05-11T20:32:15.000Z,"Die Bilder aus Israel erfüllen mich mit großer Sorge. Ich verurteile die fortlaufenden Raketenangriffe der Hamas aufs Schärfste. Diese müssen sofort beendet werden. Die Gewaltspirale zeigt, wie dringend die Wiederaufnahme von Friedensverhandlungen ist.
https://t.co/eGDhyUtYR8"
1391327536412561410,ABaerbock,2021-05-09T09:41:48.000Z,"Die Europäische Union ist nicht nur eine Antwort auf eine lange, schmerzvolle Geschichte, sondern vor allem ein Zukunftsversprechen. Gemeinsam können wir so viel erreichen. Für Klimaschutz, für ein solidarisches Miteinander, für die Menschenrechte. #Europatag B! https://t.co/pY7GkMjVGz"
1391294209563447297,ABaerbock,2021-05-09T07:29:23.000Z,"Gerade Mütter leisten in der Corona-Pandemie unfassbares, gehen bis an ihre Belastungsgrenzen. Sie verdienen nicht nur Blumen, sondern auch politisch unsere volle Unterstützung. Es ist an der Zeit, die strukturelle Schlechterstellung von Frauen zu beenden. #Muttertag !B https://t.co/GjjjhYQ0gV"
1391131942368776196,ABaerbock,2021-05-08T20:44:35.000Z,"Bilder aus #Kabul sind herzzerreißend. Meine Gedanken sind bei den afghanischen Mädchen, die ihrem Recht auf Bildung nachgehen wollten. 

The news from Kabul are heartbreaking. My heart goes out to all girls fighting for their right of education.

تسليت به مردم شريف #افقانستان. https://t.co/0IiyKedVD3"
1390991230666956803,ABaerbock,2021-05-08T11:25:27.000Z,"Der #TagderBefreiung mahnt uns, die Erinnerung wach zu halten. Es liegt in unseren Händen, Freiheit und Demokratie zu verteidigen. Gegen Faschismus, Rassismus und Antisemtismus. Für ein gemeinsames Europa. #Niewieder"
1390947262277238785,ABaerbock,2021-05-08T08:30:44.000Z,"Boris Palmer hat deshalb unsere politische Unterstützung verloren. Nach dem erneuten Vorfall beraten unsere Landes- und Bundesgremien über die entsprechenden Konsequenzen, inklusive Ausschlussverfahren. 2/2"
1390947260129857537,ABaerbock,2021-05-08T08:30:44.000Z,"Die Äußerung von Boris #Palmer ist rassistisch und abstoßend. Sich nachträglich auf Ironie zu berufen, macht es nicht ungeschehen. Das Ganze reiht sich ein in immer neue Provokationen, die Menschen ausgrenzen und verletzen. 1/2"
1390674683910053895,ABaerbock,2021-05-07T14:27:36.000Z,"Bringen wir das Klimaschutzsofortprogramm auf den Weg
1)Klimaschutzziel 2030: -70%
2)Schneller Ausbaus v Erneuerbaren Energien 
3)Abbau umweltschädlicher Subventionen
4)#Kohleausstieg vorziehen
5)Ab 2030: nur Neuzulassung emissionsfreier Autos 
6)Klimapakt zum Umbau der Industrie"
1390674430251122692,ABaerbock,2021-05-07T14:26:36.000Z,"Wer das Klima schützt, schützt die Freiheit. #Klimaschutz ist nicht einfach nur Umweltpolitik. Es geht ums Ganze. #ErneuerbareEnergien müssen schneller ausgebaut werden. Und wir brauchen eine Politik, die Klimaschutz zum Kern jedes politischen Handelns macht. #KlimaschutzIstJetzt https://t.co/7SmhzShdHO"
1390224495353421826,ABaerbock,2021-05-06T08:38:43.000Z,RT @EUintheUS: More to come from Day 2 of the EU-U.S. Future Forum. Join us as we continue our conversations on developing a new transatlan…
1389330321305374723,ABaerbock,2021-05-03T21:25:35.000Z,"RT @ifrc: Hope is built through countless acts of kindness.

This week we will celebrate our special World #RedCrossDay #RedCrescentDay wit…"
1388805765415292928,ABaerbock,2021-05-02T10:41:11.000Z,RT @benjaminhaddad: Join @AtlanticCouncil @EUintheUS May 5/7 for the US-EU Future Forum. Thrilled to announce CNN’s @FareedZakaria will int…
1388454010798096386,ABaerbock,2021-05-01T11:23:27.000Z,"Wir brauchen faire Löhne in ganz Deutschland und gleiche Löhne in Ost und West. Der Mindestlohn gehört auf 12 Euro erhöht. Wir wollen investieren in gute Löhne und Arbeitsbedingungen, in gute Kitas, Schulen und in Krankenhäuser."
1388454008684220416,ABaerbock,2021-05-01T11:23:26.000Z,"Solidarität heißt nicht nur angemessener Lohn, sondern auch gute Arbeitsbedingungen - in allen Branchen. #TagDerArbeit #SolidaritaetIstZukunft https://t.co/oGxRSMSrhe"
1388119749402431488,ABaerbock,2021-04-30T13:15:12.000Z,"Ich bin zutiefst bestürzt über die Geschehnisse in #Israel. Allen, die bei dem Unglück geliebte Menschen verloren haben oder selbst zu Schaden gekommen sind, gilt mein tiefes Mitgefühl. https://t.co/qabZePVeE7"
1388080936634441728,ABaerbock,2021-04-30T10:40:59.000Z,"RT @DanielaVates: „Auf den Tisch hauen reicht nicht“, sagt ⁦@ABaerbock⁩ im ⁦@RND_de⁩-Interview mit ⁦@EvaQuadbeck⁩ und mir. Es geht um Pfleg…"
1387877659280031750,ABaerbock,2021-04-29T21:13:14.000Z,"RT @AuschwitzMuseum: 29 April 1942 | A French Jewish boy, Lucien Benayoun, was born in Lyon.

He was deported to #Auschwitz on 11 August 19…"
1387825514035941390,ABaerbock,2021-04-29T17:46:01.000Z,Ob Klimaschutz oder Corona-Pandemie: die Herausforderungen unserer Zeit lassen sich nur europäisch lösen. Mit EU-Kommissar @ThierryBreton habe ich über eine schnellere Impfstoffproduktion in der EU gesprochen und darüber wie Nachhaltigkeit zum europäischen Erfolgsmodell wird. https://t.co/kHgKEAQflL
1387698070268354560,ABaerbock,2021-04-29T09:19:36.000Z,Historische Entscheidung des #BVerfG. #Klimaschutz schützt unsere Freiheit und die Freiheit unserer Kinder und Enkel. Deshalb konkreter Auftrag für das Hier und Heute: Klimaschutzgesetz jetzt überarbeiten. Die nächsten Jahre sind entscheidend für konsequentes Handeln. https://t.co/xK9AvUGSes
1387693572573519872,ABaerbock,2021-04-29T09:01:44.000Z,"Was für furchtbare Ereignisse heute Nacht in Potsdam-Babelsberg. Mein tiefes Mitgefühl gilt den Angehörigen der Opfer, den Bewohnerinnen, Bewohnern und Mitarbeitenden im Oberlinhaus. Ich bin in Gedanken bei ihnen."
1386758473334104067,ABaerbock,2021-04-26T19:05:59.000Z,@ralphruthe Na gut 😉
1386591529557536769,ABaerbock,2021-04-26T08:02:36.000Z,"Der #Tschernobyl-Jahrestag führt uns vor Augen, wie riskant und gefährlich Atomkraft ist. Umso wichtiger ist, dass wir unsere Atomkraftwerke abschalten und ein Endlager für Atommüll finden. Die Zukunft gehört den Erneuerbaren."
1386434459025641474,ABaerbock,2021-04-25T21:38:28.000Z,RT @IntegrationBund: Heute vor 14 Jahren wurde die Polizistin Michèle Kiesewetter im Streifendienst durch den #NSU ermordet. Sie wurde 22 J…
1386308909657427974,ABaerbock,2021-04-25T13:19:35.000Z,"Ich werbe für eine aktive Außenpolitik. Die Lücke, die durch die Passivität der Bundesregierung entstanden ist, füllen nun Länder wie Russland und Türkei. Es braucht gegenüber autoritären Kräften Dialog und Härte. https://t.co/OCpD1iRsqT (€)"
