Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
ZDF heute,ZDFheute,112784955679,BROADCASTING_MEDIA_PRODUCTION,DE,Was auf der Welt passiert und alle angeht - mit ZDFheute rund um die Uhr informiert sein.,2014-10-06 20:30:23 CEST,1260604,1424882,2021-05-05 20:01:40 CEST,2021-05-05,20:01:40,Link,"9,767",4244,2405,565,89,82,166,111,2093,12,,-,0,0,0,N/A,https://www.facebook.com/112784955679/posts/10159572253750680,Das Bundesverfassungsgericht hat die Eilanträge gegen nächtliche Ausgangsbeschränkungen auf Bundesebene abgelehnt.,https://kurz.zdf.de/qI7/,https://www.zdf.de/nachrichten/politik/corona-urteil-bundesverfassungsgericht-ausgangsbeschraenkungen-102.html#xtor=CS5-48,,Karlsruhe: Eilanträge gegen Ausgangssperre abgelehnt,,,,,2.58
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546181,2527704,2021-05-05 19:03:58 CEST,2021-05-05,19:03:58,Link,964,44,413,4,0,4,429,0,70,0,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160630815265730,Fünf Punkte seien für das Sinken entscheidend.,https://on.bild.de/2PQL3Ex,"https://www.bild.de/bild-plus/politik/inland/politik-inland/fuenf-entscheidende-punkte-so-erklaert-karl-lauterbach-die-sinkende-inzidenz-76293980,view=conversionToLogin.bild.html?ref=fbpa",,Corona-Krise: So erklärt Karl Lauterbach die sinkende Inzidenz,"Die kontinuierlich sinkenden Corona-Neuinfektionen in Deutschland lassen Hoffnung aufkommen. SPD-Gesundheitsexperte Karl Lauterbach sieht Deutschland auf einem guten Weg. Lesen Sie mit BILDplus welche fünf Punkte Lauterbach ausgemacht hat, die derzeit für die sinkenden Zahlen sorgen und uns Mitte ...",,,,2.58
stern,stern,78766664651,NEWS_SITE,DE,"Willkommen beim stern - aktuelle Nachrichten, Hintergründe und bildstarke Reportagen. Impressum: https://www.stern.de/impressum. Bei Fragen zum Datenschutz: https://www.stern.de/datenschutz.",2014-09-30 23:06:57 CEST,761364,751202,2021-05-06 13:00:08 CEST,2021-05-06,13:00:08,Link,123,29,72,1,2,2,5,1,11,0,,-,0,0,0,N/A,https://www.facebook.com/78766664651/posts/10158671216869652,Guten Appetit!,https://trib.al/t2ufCgv,https://www.stern.de/genuss/essen/mehlwurm-als-erstes-insekt-europaweit-zum-verzehr-zugelassen-30512966.html?utm_source=facebook&utm_medium=posting&utm_campaign=stern_fanpage,,Mehlwurm als erstes Insekt in Europa zum Verzehr zugelassen,"Die EU-Mitgliedsstaaten stimmten einem Vorschlag der Europäischen Kommission am Dienstag zu, den gelben Mehlwurm als Nahrungsmittel zu klassifizieren.",,,,2.56
GMX News,GMX.DE,187741777922914,NEWS_SITE,DE,"Die Redaktion von GMX versorgt Euch auch auf Facebook mit News, Berichten und Videos. Hilfe bei technischen Fragen gibt es hier: http://j.mp/GMX-Hilfe",2015-11-17 19:34:22 CET,535499,532307,2021-05-06 13:14:07 CEST,2021-05-06,13:14:07,Link,122,28,31,8,0,1,8,0,45,1,,-,0,0,0,N/A,https://www.facebook.com/187741777922914/posts/4248394068524311,Ein Großteil der Beschränkungen soll bereits ab Samstag entfallen - auch für COVID-19-Genesene.,https://gmx.net/magazine/politik/bundestag-beschliesst-lockerungen-geimpfte-genesene-35788802,https://www.gmx.net/magazine/politik/bundestag-beschliesst-lockerungen-geimpfte-genesene-35788802,,Bundestag beschließt Lockerungen für Geimpfte,,,,,2.54
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546152,2527790,2021-05-06 11:03:01 CEST,2021-05-06,11:03:01,Link,575,80,348,17,2,2,73,0,52,1,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160633123630730,Er gehört zur wohl mächtigsten Großfamilie Deutschlands im Bereich Organisierte Kriminalität. Ashraf Remmo (39) gilt als Pate des Deutsch-Rap und soll auch im Prozess gegen Arafat Abou-Chaker (45) aussagen. Doch dazu kam es nicht.,https://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=25604775729--76300004&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fregional%2Fberlin%2Fberlin-aktuell%2Fbushido-prozess-in-berlin-remmo-mitglied-kneift-gegen-arafat-abou-chaker-76300004.bild.html%3Fref%3Dfbpa,https://www.bild.de/bild-plus/regional/berlin/berlin-aktuell/bushido-prozess-in-berlin-remmo-mitglied-kneift-gegen-arafat-abou-chaker-76300004.bild.html?ref=fbpa,,Remmo-Clan-Mitglied bei Bushido-Prozess: Nach vier Minuten war der Prozesstag vorbei | BILDplus,,,,,2.53
ntv Nachrichten,ntvNachrichten,126049165307,TV_CHANNEL,DE,"Breaking News, aktuelle Videos und Artikel von http://www.n-tv.de | Zum Impressum",2014-10-06 20:31:53 CEST,1067406,1143728,2021-05-05 17:04:21 CEST,2021-05-05,17:04:21,Link,461,114,171,5,0,2,157,0,12,0,,-,0,0,0,N/A,https://www.facebook.com/126049165307/posts/10158278725065308,,https://www.n-tv.de/21626512?ts=1620227057769,https://www.n-tv.de/panorama/17-00-Lauterbach-kritisiert-Offnungswettlauf-der-Bundeslaender--article21626512.html,,+++ 17:00 Lauterbach kritisiert Öffnungswettlauf der Bundesländer +++,Coronavirus-Liveticker,,,,2.53
ntv Nachrichten,ntvNachrichten,126049165307,TV_CHANNEL,DE,"Breaking News, aktuelle Videos und Artikel von http://www.n-tv.de | Zum Impressum",2014-10-06 20:31:53 CEST,1067380,1143733,2021-05-06 12:15:42 CEST,2021-05-06,12:15:42,Live Video Complete,824,132,278,41,41,4,24,4,299,1,owned,Yes,14556,14722,0,00:30:21,https://www.facebook.com/126049165307/posts/465056387909522,Corona LIVE: Der Bundestag beschließt die Verordnung zu den Rechten für Geimpfte,https://www.facebook.com/ntvNachrichten/videos/465056387909522/,,,,,,,,2.49
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846691,886153,2021-05-06 05:02:49 CEST,2021-05-06,05:02:49,Link,183,92,49,8,4,1,21,0,8,0,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159400059369429,"Die Zeichen stehen gut, die Politik wird sich nun entscheiden müssen: Jo-Jo oder Stabilität. Schnelle Öffnungen oder noch ein wenig Geduld. Letzteres könnte uns den Sommer unseres Lebens bescheren.",https://trib.al/0W1cV69,https://www.zeit.de/gesundheit/2021-05/corona-massnahmen-oeffnungen-lockdown-inzidenz-sommer?utm_campaign=ref&utm_source=facebook_zonaudev_int&wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost_zon.link.sf&utm_referrer=facebook&utm_term=facebook_zonaudev_int&utm_medium=sm&utm_content=zeitde_redpost_zon_link_sf,,Corona-Maßnahmen: Nun bloß keine Paniköffnungen,"Die Fallzahlen sinken. Statt zu schnell zu weit zu öffnen, sollten wir die Inzidenz mit Impfungen und Tests weiter drücken. Nicht nur für den Sommer unseres Lebens.",,,,2.47
DER SPIEGEL,derspiegel,38246844868,NEWS_SITE,DE,"DER SPIEGEL steht für unabhängigen investigativen Journalismus. Er ermöglicht seinen Leserinnen und Lesern den Blick hinter die Fassade der vordergründigen Nachrichtenwelt, liefert Hintergründe und ordnet ein. DER SPIEGEL sagt, was ist.",2014-08-27 23:54:12 CEST,1924419,2110785,2021-05-06 08:30:00 CEST,2021-05-06,08:30:00,Link,952,354,419,58,2,6,97,13,3,0,,-,0,0,0,N/A,https://www.facebook.com/38246844868/posts/10159925542159869,"»Wollen wir den tiefen Frust von Eltern einfach so übergehen? Wollen wir es beim ermüdeten Klatschen für die systemrelevanten Berufe belassen? Ist es uns egal, dass sich Inzidenzzahlen in ein und derselben Stadt je nach Wohnlage – schickes Villenviertel oder Hochhausblock – um den Faktor 10 unterscheiden?«",https://www.spiegel.de/psychologie/corona-massnahmen-wir-werden-uns-manches-nicht-verzeihen-koennen-a-ad1a3426-f354-4d6c-9730-0d9648f9d141,,,Gesellschaft nach der Pandemie: Wir werden uns manches nicht verzeihen können - Gastbeitrag,"In der Pandemie sind schwere Fehler gemacht worden. Manche sind unverzeihlich. Wenn unsere Gesellschaft heilen will, dann darf sie nicht vergessen – und muss versuchen, sich zu versöhnen.",,,,2.46
ZDF heute,ZDFheute,112784955679,BROADCASTING_MEDIA_PRODUCTION,DE,Was auf der Welt passiert und alle angeht - mit ZDFheute rund um die Uhr informiert sein.,2014-10-06 20:30:23 CEST,1260787,1425278,2021-05-06 13:04:28 CEST,2021-05-06,13:04:28,Link,"2,055",811,645,50,32,11,38,13,454,1,,-,0,0,0,N/A,https://www.facebook.com/112784955679/posts/10159574055790680,Der Bundestag hat entschieden: Für Geimpfte und Genesene werden in Zukunft Lockerungen gelten. Morgen wird der Bundesrat darüber tagen.,https://www.zdf.de/nachrichten/video/corona-bundestag-abstimmung-rechte-geimpfte-genesene-100.html#xtor=CS5-48,,,Bundestag: Abstimmung über Lockerungen für Geimpfte,,,,,2.46
t-online,tonline,24897707939,MEDIA_NEWS_COMPANY,DE,"t-online, Deutschlands größtes Nachrichtenportal. Jetzt Fan werden!",2015-04-20 14:42:53 CEST,376369,393407,2021-05-05 19:41:09 CEST,2021-05-05,19:41:09,Link,379,71,139,23,3,89,49,1,3,1,,-,0,0,0,N/A,https://www.facebook.com/24897707939/posts/10159511865372940,,https://www.t-online.de/nachrichten/panorama/menschen-schicksale/id_89978052/sensation-in-marokko-frau-bringt-neunlinge-zur-welt.html?utm_source=dlvr.it&utm_medium=facebook,,,Sensation: Frau bringt Neulinge zur Welt,"Mehrlinge hatte eine Schwangere erwartet. Dass es am Ende so viele Babys werden, überraschte die Ärzte in Marokko dann doch.",,,,2.41
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546181,2527704,2021-05-05 21:03:01 CEST,2021-05-05,21:03:01,Link,888,86,345,22,3,7,53,4,368,0,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160631628215730,Die Eilanträge gegen nächtliche Ausgangsbeschränkungen wurden abgelehnt.,https://www.bild.de/politik/2021/politik/bundesverfassungsgericht-corona-ausgangssperre-bleibt-in-kraft-76300248.bild.html,,,Bundesverfassungsgericht: Corona-Ausgangssperre bleibt in Kraft,,,,,2.41
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546181,2527704,2021-05-05 16:03:00 CEST,2021-05-05,16:03:00,Link,912,167,504,39,3,24,78,86,8,3,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160630797115730,"Als Felicitas Rohrer 25 Jahre alt war, hatte sie eine klare Vorstellung von ihrem Leben. Sie war sportlich, gesund und wollte Tierärztin werden. Doch dazu sollte es nicht mehr kommen.",https://www.bild.de/regional/stuttgart/stuttgart-aktuell/herzprobleme-durch-pille-felicitas-will-200-000-euro-von-bayer-76286626.bild.html,,,200 000 Euro Schmerzensgeld: Mein Herz blieb wegen der Antibaby-Pille stehen!,"Freiburg – Felicitas Rohrer war kerngesund. Im Juli 2009 brach sie zusammen. Sie ist sich sicher, dass ihr Herz wegen der Pille stehen blieb.",,,,2.41
DER SPIEGEL,derspiegel,38246844868,NEWS_SITE,DE,"DER SPIEGEL steht für unabhängigen investigativen Journalismus. Er ermöglicht seinen Leserinnen und Lesern den Blick hinter die Fassade der vordergründigen Nachrichtenwelt, liefert Hintergründe und ordnet ein. DER SPIEGEL sagt, was ist.",2014-08-27 23:54:12 CEST,1924511,2110658,2021-05-05 14:07:01 CEST,2021-05-05,14:07:01,Link,"1,066",195,696,19,4,16,61,68,1,6,,-,0,0,0,N/A,https://www.facebook.com/38246844868/posts/10159923451929869,Das berichtet die britische Zeitung »Telegraph« mit Verweis auf den Totenschein.,https://www.spiegel.de/panorama/leute/prinz-philip-soll-laut-bericht-des-telegraph-an-altersschwaeche-gestorben-sein-a-44067963-8e4f-4609-ad72-c82d9fdda132,,,Prinz Philip soll an »Altersschwäche« gestorben sein,Knapp einen Monat nach dem Tod des Gemahls der Queen will die britische Zeitung »Telegraph« nun Zugriff auf den Totenschein des Prinzen haben. Darin werde auch die Todesursache genannt.,,,,2.41
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846810,886138,2021-05-05 15:39:53 CEST,2021-05-05,15:39:53,Link,219,150,29,7,13,2,17,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159398448714429,Von Sleepy Joe zu Speedy Joe: Matthias Naß über Präsident Joe Biden und die deutsche Mutlosigkeit.,https://trib.al/O1pkCcT,https://www.zeit.de/politik/ausland/2021-05/joe-biden-usa-aussenpolitik-deutschland-europa-pandemie-bekaempfung?utm_campaign=ref&wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost_zon.link.sf&utm_source=facebook_zonaudev_int&utm_referrer=facebook&utm_content=zeitde_redpost_zon_link_sf&utm_term=facebook_zonaudev_int&utm_medium=sm,,Joe Biden: Ein alter weißer Mann macht Tempo in Amerika,"Joe Biden beseitigt den Scherbenhaufen der Trump-Jahre, er setzt richtige Prioritäten. Nur seine Außenpolitik stößt ausgerechnet in Berlin auf höfliches Desinteresse.",,,,2.38
stern,stern,78766664651,NEWS_SITE,DE,"Willkommen beim stern - aktuelle Nachrichten, Hintergründe und bildstarke Reportagen. Impressum: https://www.stern.de/impressum. Bei Fragen zum Datenschutz: https://www.stern.de/datenschutz.",2014-09-30 23:06:57 CEST,761410,751232,2021-05-05 18:00:53 CEST,2021-05-05,18:00:53,Photo,687,174,357,24,4,2,118,1,0,7,,-,0,0,0,N/A,https://www.facebook.com/78766664651/posts/10158669648594652,"So endet Corona. Woran wir erkennen werden, dass die Pandemie überwunden ist. Der neue stern ist ab morgen am Kiosk erhältlich – und ab sofort auch bei uns im Shop: https://shop.stern.de/de_DE/einzelhefte",https://www.facebook.com/stern/photos/a.113788409651/10158669648594652/?type=3,,"SCHWABEN IN NOT? Wie das Ende des Verbrennungsmotors die Region umkrempelt ค በን9 Diversität Atze Schröder Je bunter die Beleg- Weshalb der Comedian schaft, desto erfolg- nun vegan reicher die Firma versaute Witze meidet Nicht nur Nawalnyj Wie der russische Staat Journalistin den Tod trieb SO ENDET CORONA Woran wir erkennen werden, dass die Pandemie überwunden ist.",Timeline Photos,,,,,2.37
FAZ.NET - Frankfurter Allgemeine Zeitung,faz,346392590975,NEWS_SITE,DE,"Aktuelle Nachrichten und tiefgehende Berichterstattung aus den Bereichen Politik, Wirtschaft, Kultur und Sport.",2014-09-30 23:06:41 CEST,565422,576313,2021-05-05 16:51:02 CEST,2021-05-05,16:51:02,Link,443,139,150,51,2,12,52,28,8,1,,-,0,0,0,N/A,https://www.facebook.com/346392590975/posts/10158158866390976,In den kommenden Tagen wird die Unterstufe einer chinesischen Trägerrakete vom Typ „Langer Marsch“ unkontrolliert in die Erdatmosphäre eintreten.,https://buff.ly/3ui3DUW,https://www.faz.net/aktuell/wissen/weltraum/raketenabsturz-raketentruemmer-treffen-nicht-deutschland-17326926.html?utm_content=buffere3d7a&utm_medium=social&utm_source=facebook.com&utm_campaign=GEPC%253Ds6,,Raketentrümmer treffen nicht Deutschland,,,,,2.36
Süddeutsche Zeitung,ihre.sz,215982125159841,MEDIA_NEWS_COMPANY,DE,"Deutschlands große Zeitung. Seit 1945. Mit dem Newsportal SZ.de. 
Impressum: http://www.sz.de/impressum
Datenschutz: https://datenschutz.sueddeutsche.de/sz",2014-09-30 23:06:42 CEST,780533,795298,2021-05-06 12:45:00 CEST,2021-05-06,12:45:00,Link,179,98,69,2,1,0,7,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/215982125159841/posts/4189405154484165,"Den vollen Impfschutz haben in Deutschland bislang 8,6 Prozent der Bevölkerung bekommen. Das RKI meldet 21 953 Corona-Neuinfektionen und 250 neue Todesfälle. Damit sinkt die Inzidenz weiter: auf 129,1. Aktuelle Meldungen aus Deutschland",https://www.sueddeutsche.de/politik/corona-aktuell-rki-neuinfektionen-impfen-1.5282424,https://www.sueddeutsche.de/politik/corona-aktuell-bundestag-geimpfte-lockerungen-livestream-1.5282424,,Mehr als 30 Prozent der Menschen in Deutschland sind erstgeimpft,"Die Sieben-Tage-Inzidenz fällt auf 129,1. Mehr als 30 Prozent der Menschen in Deutschland sind erstgeimpft",,,,2.36
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846810,886138,2021-05-05 17:57:09 CEST,2021-05-05,17:57:09,Link,211,132,57,0,13,1,2,0,5,1,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159398737119429,"Der Schritt dürfte weltweit für Aufsehen sorgen, weil er als Hinweis darauf gilt, wie Facebook künftig mit Staats- und Regierungschefs wie Irans oberstem politischem und religiösem Führer Ajatollah Ali Chamenei oder Brasiliens Präsidenten Jair Bolsonaro verfahren könnte.",https://trib.al/tLph9d8,https://www.zeit.de/digital/internet/2021-05/donald-trump-facebook-sperrung-oversight-board?utm_referrer=facebook&utm_term=facebook_zonaudev_int&utm_source=facebook_zonaudev_int&utm_content=zeitde_redpost_zon_link_sf&wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost_zon.link.sf&utm_campaign=ref&utm_medium=sm,,Oversight Board: Donald Trump bleibt auf Facebook gesperrt,"Nach dem Sturm auf das US-Kapitol war das Konto des damaligen US-Präsidenten blockiert worden. Nun bestätigte ein Aufsichtsgremium die Sperre, allerdings nicht dauerhaft.",,,,2.34
ntv Nachrichten,ntvNachrichten,126049165307,TV_CHANNEL,DE,"Breaking News, aktuelle Videos und Artikel von http://www.n-tv.de | Zum Impressum",2014-10-06 20:31:53 CEST,1067406,1143728,2021-05-05 23:54:52 CEST,2021-05-05,23:54:52,Link,416,116,126,14,15,133,5,0,1,6,,-,0,0,0,N/A,https://www.facebook.com/126049165307/posts/10158279515425308,Zwei Babys haben die Ärzte erst übersehen.,https://www.n-tv.de/der_tag/Arzte-uebersehen-zwei-Babys-Frau-bringt-Neunlinge-zur-Welt-article22536177.html?utm_medium=Social&utm_source=Facebook#Echobox=1620240430,,,Frau bringt Neunlinge zur Welt,,,,,2.34
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846810,886138,2021-05-05 20:56:13 CEST,2021-05-05,20:56:13,Link,207,113,49,27,1,2,13,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159399174469429,"Folgt aus dem Elektroauto-Boom ein riesiges Sondermüllproblem? Viel spricht dafür, dass das Gegenteil der Fall sein wird. Dass Firmen sogar Geld bezahlen werden, um die alten Batterien verwerten zu dürfen.",https://trib.al/3rQRufN,https://www.zeit.de/mobilitaet/2021-04/lithium-ionen-akkus-elektro-auto-recycling-entsorgung?utm_referrer=facebook&utm_content=zeitde_redpost_zon_link_sf&utm_term=facebook_zonaudev_int&utm_source=facebook_zonaudev_int&utm_campaign=ref&wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost_zon.link.sf&utm_medium=sm,,Lithium-Ionen-Akkus: Der Schatz im Schrott,Alte E-Auto-Akkus sind Sondermüll – aber auch ein wertvoller Rohstoff. Schon jetzt zeichnet sich ab: Das Recycling wird ein Milliardengeschäft.,,,,2.33
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546181,2527704,2021-05-06 00:03:01 CEST,2021-05-06,00:03:01,Link,819,59,347,52,0,15,0,106,240,0,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160631898305730,Dieses grausame Verbrechen schockt Frankreich.,https://www.bild.de/news/ausland/news-ausland/frankreich-mann-schiesst-frau-nahe-bordeaux-nieder-und-zuendet-sie-an-76295014.bild.html,,,Mann schießt Frau nahe Bordeaux nieder und zündet sie an,,,,,2.32
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546181,2527704,2021-05-05 20:33:01 CEST,2021-05-05,20:33:01,Link,854,47,339,84,0,11,14,51,308,0,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160631578365730,Sie sind selbst noch Kinder – und tun sowas!,https://www.bild.de/regional/hamburg/hamburg-aktuell/brutaler-raub-in-hamburg-kinder-ueberfallen-zwei-achtjaehrige-76294552.bild.html,,,Brutaler Raub in Hamburg: Kinder überfallen zwei Achtjährige,,,,,2.31
DER SPIEGEL,derspiegel,38246844868,NEWS_SITE,DE,"DER SPIEGEL steht für unabhängigen investigativen Journalismus. Er ermöglicht seinen Leserinnen und Lesern den Blick hinter die Fassade der vordergründigen Nachrichtenwelt, liefert Hintergründe und ordnet ein. DER SPIEGEL sagt, was ist.",2014-08-27 23:54:12 CEST,1924419,2110785,2021-05-06 12:45:00 CEST,2021-05-06,12:45:00,Link,555,140,285,3,2,4,99,1,19,2,,-,0,0,0,N/A,https://www.facebook.com/38246844868/posts/10159925885419869,"Unser Autor ist 49 Jahre alt, hat keine Vorerkrankungen und ist auch nicht systemrelevant. Trotzdem hat er sich mit AstraZeneca impfen lassen. Hier erklärt er, warum er sich dennoch nicht privilegiert fühlt.",https://www.spiegel.de/partnerschaft/corona-impfung-wie-ich-als-mittelalter-mann-beim-frauenarzt-geimpft-wurde-a-e962493a-7f37-4b0e-9e05-7277baad55c7?sara_ecid=soci_upd_j5FMWycn2aPum0F4COc40xUTUfLybp,,,"Impfdrang, Impfneid: Wie ich als mittelalter Mann beim Frauenarzt geimpft wurde (S+)",Wie ich mich als mittelalter Mann ohne Priorisierung und Systemrelevanz bei einer Gynäkologin mit AstraZeneca impfen ließ – und warum ich mich trotzdem nicht privilegiert fühle.,,,,2.3
DER SPIEGEL,derspiegel,38246844868,NEWS_SITE,DE,"DER SPIEGEL steht für unabhängigen investigativen Journalismus. Er ermöglicht seinen Leserinnen und Lesern den Blick hinter die Fassade der vordergründigen Nachrichtenwelt, liefert Hintergründe und ordnet ein. DER SPIEGEL sagt, was ist.",2014-08-27 23:54:12 CEST,1924511,2110658,2021-05-05 16:38:46 CEST,2021-05-05,16:38:46,Link,"1,071",330,262,68,32,1,6,355,1,16,,-,0,0,0,N/A,https://www.facebook.com/38246844868/posts/10159923821304869,»Der gehört zu Köln wie der Kölner Dom.«,https://www.spiegel.de/panorama/leute/willi-herren-lindenstrassen-schauspieler-in-koeln-beerdigt-a-ae1518c0-e748-4d3a-967c-782d5822b3f3,,,Beerdigung von Willi Herren: »Auf Willisehen«,»Der gehört zu Köln wie der Kölner Dom«: Willi Herren ist in seiner Heimatstadt beigesetzt worden – trotz der Coronapandemie nahmen viele Fans Abschied von dem Schauspieler.,,,,2.27
Süddeutsche Zeitung,ihre.sz,215982125159841,MEDIA_NEWS_COMPANY,DE,"Deutschlands große Zeitung. Seit 1945. Mit dem Newsportal SZ.de. 
Impressum: http://www.sz.de/impressum
Datenschutz: https://datenschutz.sueddeutsche.de/sz",2014-09-30 23:06:42 CEST,780579,795308,2021-05-05 17:16:08 CEST,2021-05-05,17:16:08,Link,354,22,211,7,0,10,5,92,6,1,,-,0,0,0,N/A,https://www.facebook.com/215982125159841/posts/4187087454715935,,https://www.sueddeutsche.de/muenchen/landkreismuenchen/oktoberfet-absage-wiesn-herzen-entsorgung-1.5284300,,,This is a re-share of a post,"Bernd Dostler von der Event-Bäckerei Zuckersucht in Aschheim trifft die erneute Absage des Oktoberfests besonders hart. Er muss sechs Tonnen Lebkuchen wegwerfen, die er eigentlich für 2020 produziert hat.",,,,2.27
FAZ.NET - Frankfurter Allgemeine Zeitung,faz,346392590975,NEWS_SITE,DE,"Aktuelle Nachrichten und tiefgehende Berichterstattung aus den Bereichen Politik, Wirtschaft, Kultur und Sport.",2014-09-30 23:06:41 CEST,565408,576329,2021-05-06 08:12:08 CEST,2021-05-06,08:12:08,Link,336,96,206,0,0,1,33,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/346392590975/posts/10158160429765976,Gute Nachrichten: Die Sieben-Tage-Inzidenz sinkt weiter.,https://buff.ly/3b1T40E,https://www.faz.net/aktuell/gesellschaft/gesundheit/coronavirus/corona-rki-meldet-weniger-neuinfektionen-und-todesfaelle-17328097.html?utm_content=buffer08c78&utm_medium=social&utm_source=facebook.com&utm_campaign=GEPC%253Ds6,,Das RKI meldet mit 21.953 Fällen abermals weniger Neuinfektionen als in der Vorwoche,,,,,2.23
ntv Nachrichten,ntvNachrichten,126049165307,TV_CHANNEL,DE,"Breaking News, aktuelle Videos und Artikel von http://www.n-tv.de | Zum Impressum",2014-10-06 20:31:53 CEST,1067380,1143733,2021-05-06 08:16:51 CEST,2021-05-06,08:16:51,Link,335,25,186,26,1,90,5,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/126049165307/posts/10158280555620308,Bestens vernetzt in Australien 🕷️🕸️,https://www.n-tv.de/mediathek/videos/panorama/New-South-Wales-erlebt-Spinnen-Invasion-article22535344.html?utm_medium=Social&utm_source=Facebook#Echobox=1620246769,,,Video: New South Wales erlebt eine Spinnen-Invasion,"Das Hochwasser in Australien zwingt nicht nur Menschen aus ihren Lebensräumen, sondern auch Tiere. Selbst die kleinsten unter ihnen, die Insekten, suchen Schutz vor de...",,,,2.2
