Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
WELT,welt,97515118114,NEWS_SITE,DE,"Wir informieren euch rund um die Uhr über das Weltgeschehen.

Netiquette: http://to.welt.de/6u1DBfN",2014-09-30 23:07:59 CEST,1065700,1100358,2021-05-06 13:20:52 CEST,2021-05-06,13:20:52,Link,"1,776",464,727,90,10,8,94,6,374,3,,-,0,0,0,N/A,https://www.facebook.com/97515118114/posts/10160043640058115,Das sieht die neue Regelung jetzt vor.,https://trib.al/aIAVme4,https://www.welt.de/politik/deutschland/article230917059/Corona-Massnahmen-Bundestag-stimmt-fuer-Erleichterungen-fuer-Geimpfte-und-Genesene.html?wtrid=socialmedia.socialflow....socialflow_facebook,,Corona: Bundestag beschließt Lockerungen für Geimpfte und Genesene,,,,,12.33
FAZ.NET - Frankfurter Allgemeine Zeitung,faz,346392590975,NEWS_SITE,DE,"Aktuelle Nachrichten und tiefgehende Berichterstattung aus den Bereichen Politik, Wirtschaft, Kultur und Sport.",2014-09-30 23:06:41 CEST,565422,576313,2021-05-05 19:59:03 CEST,2021-05-05,19:59:03,Link,"2,243",671,764,107,17,20,43,30,587,4,,-,0,0,0,N/A,https://www.facebook.com/346392590975/posts/10158159240475976,Das wurde soeben entschieden.,https://www.faz.net/aktuell/eilantraege-abgelehnt-karlsruhe-billigt-ausgangssperre-17327866.html,,,Karlsruhe lehnt Eilanträge ab – Ausgangssperre bleibt in Kraft,Das Bundesverfassungsgericht hat Eilanträge gegen die nächtlichen Ausgangsbeschränkungen abgelehnt. Damit bleibt die Regelung der „Bundes-Notbremse“ in Kraft.,,,,12.19
FAZ.NET - Frankfurter Allgemeine Zeitung,faz,346392590975,NEWS_SITE,DE,"Aktuelle Nachrichten und tiefgehende Berichterstattung aus den Bereichen Politik, Wirtschaft, Kultur und Sport.",2014-09-30 23:06:41 CEST,565408,576329,2021-05-06 10:24:03 CEST,2021-05-06,10:24:03,Link,"1,698",825,511,29,34,9,272,5,7,6,,-,0,0,0,N/A,https://www.facebook.com/346392590975/posts/10158160555300976,Bei der Befürwortung von Impfungen setzt sich ein „positiver Langzeittrend“ fort.,https://buff.ly/3nSpkIS,https://www.faz.net/aktuell/gesellschaft/gesundheit/umfrage-der-bzga-grosse-mehrheit-fuer-impfungen-17327109.html?utm_content=buffer3c92b&utm_medium=social&utm_source=facebook.com&utm_campaign=GEPC%253Ds6,,Impfbereitschaft der Deutschen ist während der Corona-Pandemie noch weiter gewachsen,,,,,12.13
WEB.DE News,WEB.DE,56488242934,NEWS_SITE,DE,"Die Redaktion von WEB.DE versorgt Euch auch auf Facebook mit News, Berichten und Videos. Hilfe bei technischen Fragen gibt es hier: http://j.mp/Hilfe_WEBDE",2015-09-09 12:30:34 CEST,698873,694682,2021-05-06 11:47:00 CEST,2021-05-06,11:47:00,Link,"1,239",36,350,117,1,16,0,251,468,0,,-,0,0,0,N/A,https://www.facebook.com/56488242934/posts/10158681613767935,Die 31-Jährige verbrannte bei lebendigem Leib.,https://web.de/magazine/panorama/frankreich-dreifache-mutter-ex-offener-strasse-verbrannt-35787074,https://web.de/magazine/panorama/bordeaux-dreifache-mutter-ex-offener-strasse-angeschossen-verbrannt-35787074,,Grausiger Frauenmord: Dreifache Mutter von Ex-Mann auf offener Straße angezündet,In einer Kleinstadt nahe Bordeaux wurde eine Mutter dreier Kinder von ihrem Ex-Mann auf offener Straße angeschossen und angezündet. Sie starb. Das außergewöhnlich grausame Verbrechen sorgt weit über die Grenzen der Gemeinde hinaus für Bestürzung.,,,,11.37
DER SPIEGEL,derspiegel,38246844868,NEWS_SITE,DE,"DER SPIEGEL steht für unabhängigen investigativen Journalismus. Er ermöglicht seinen Leserinnen und Lesern den Blick hinter die Fassade der vordergründigen Nachrichtenwelt, liefert Hintergründe und ordnet ein. DER SPIEGEL sagt, was ist.",2014-08-27 23:54:12 CEST,1924419,2110785,2021-05-06 13:13:54 CEST,2021-05-06,13:13:54,Link,"2,102",755,840,88,29,6,73,13,294,4,,-,0,0,0,N/A,https://www.facebook.com/38246844868/posts/10159925997544869,Schon ab dem Wochenende könnten vollständig gegen das Coronavirus Geimpfte und Covid-Genesene mehr Freiheiten genießen.,https://www.spiegel.de/politik/deutschland/corona-bundestag-beschliesst-verordnung-zur-lockerung-fuer-geimpfte-a-09438843-db5b-4253-bcec-807aa0483dbb,,,Bundestag beschließt Lockerung für Corona-Geimpfte,Schon ab dem Wochenende könnten vollständig gegen das Coronavirus Geimpfte und Covid-Genesene mehr Freiheiten genießen. Der Bundestag hat eine entsprechende Verordnung gebilligt. Eine Hürde gibt es noch.,,,,10.84
FOCUS Online,focus.de,37124189409,NEWS_SITE,DE,"Aktuelle Nachrichten und Hintergründe von FOCUS und FOCUS Online. ""Gefällt mir"" klicken und mitdiskutieren.",2014-09-30 23:07:01 CEST,894660,901536,2021-05-05 20:00:02 CEST,2021-05-05,20:00:02,Link,"1,979",218,675,384,0,25,226,24,426,1,,-,0,0,0,N/A,https://www.facebook.com/37124189409/posts/10159868405209410,Im thüringischen Suhl rumort es.,https://www.focus.de/kultur/gesellschaft/scharfe-kritik-an-politik-und-justiz-haben-schnauze-voll-verzweifelte-buerger-laufen-sturm-gegen-asylheim-in-thueringen_id_13263287.html?utm_source=facebook&utm_medium=social&utm_campaign=facebook-focus-online&fbc=facebook-focus-online&ts=202105051945&cid=05052021,,,"Asylbewerberheim versetzt Stadt in Aufruhr: ""Wir haben die Schnauze voll - helft uns!""","Im thüringischen Suhl rumort es. Nach einer Serie von Einbrüchen durch Asylbewerber fordern Bürger die sofortige Schließung der Erstaufnahmestelle mit 450 Bewohnern. Das Heim gilt seit langem als Kriminalitäts-Hotspot, die Anwohner im Umkreis fühlen sich von der rot-rot-grünen Landesregierung...",,,,10.7
ntv Nachrichten,ntvNachrichten,126049165307,TV_CHANNEL,DE,"Breaking News, aktuelle Videos und Artikel von http://www.n-tv.de | Zum Impressum",2014-10-06 20:31:53 CEST,1067406,1143728,2021-05-05 17:13:57 CEST,2021-05-05,17:13:57,Link,"1,907",58,232,299,0,147,2,1166,0,3,,-,0,0,0,N/A,https://www.facebook.com/126049165307/posts/10158278740600308,"Seinen größten Ohrwurm kennen alle ... ""I promised myself. I promised I'll wait for you."" 🎶",https://www.n-tv.de/der_tag/Pop-Saenger-Nick-Kamen-ist-tot-article22535913.html?utm_medium=Social&utm_source=Facebook#Echobox=1620227634,,,Pop-Sänger Nick Kamen ist tot,Der Tag,,,,10.48
FAZ.NET - Frankfurter Allgemeine Zeitung,faz,346392590975,NEWS_SITE,DE,"Aktuelle Nachrichten und tiefgehende Berichterstattung aus den Bereichen Politik, Wirtschaft, Kultur und Sport.",2014-09-30 23:06:41 CEST,565408,576329,2021-05-06 12:35:58 CEST,2021-05-06,12:35:58,Photo,"1,643",785,583,55,35,4,166,5,8,2,,-,0,0,0,N/A,https://www.facebook.com/346392590975/posts/10158160708930976,💉 📈 79 Prozent der Deutschen im Alter von 16 bis 85 Jahren stehen einer Impfung positiv gegenüber. Sie auch? https://buff.ly/3h76xZ4:=:https://www.faz.net/aktuell/gesellschaft/gesundheit/umfrage-der-bzga-grosse-mehrheit-fuer-impfungen-17327109.html?utm_content=buffer6892b&utm_medium=social&utm_source=facebook.com&utm_campaign=GEPC%253Ds6,https://www.facebook.com/faz/photos/a.415527155975/10158160708930976/?type=3,,WELTGESUNDHEITSORGANISATION WORLD HEALTH ORGANIZATION ORGANISATION MONDIALE DE LA SANTÉ mappp nternationaux Sanitaires Réglements INTERNATIONALE BESCHEINIGUNGEN ÜBER IMPFUNGEN UND IMPFBUCH INTERNATIONAL CERTIFICATES VACCINATION CERTIFICATS INTERNATIONAUX DE VACCINATION gemãß 22 Infektionsschutzgesetz Impfbereitschaft der Deutschen ist während der Corona- Corona-Pandemie noch weiter gewachsen Quelle: bundesweite Repräsentativbefragung der BZgA,Timeline Photos,,,,,10.27
WELT Nachrichtensender,weltnachrichtensender,95242447553,BROADCASTING_MEDIA_PRODUCTION,DE,"WELT – Deutschlands führender Informationssender
Netiquette: http://to.welt.de/6u1DBfN",2014-09-30 23:17:23 CEST,1020841,1014010,2021-05-06 10:30:15 CEST,2021-05-06,10:30:15,Link,"2,117",308,902,75,2,10,654,7,157,2,,-,0,0,0,N/A,https://www.facebook.com/95242447553/posts/10157884989882554,Hier gibt eine Expertin Tipps zum Umgang mit Verschwörungsideologen.,https://trib.al/iYLz1PZ,https://www.welt.de/politik/deutschland/article230889185/Wir-raten-Angehoerigen-mit-Querdenkern-nicht-zu-diskutieren.html?wtrid=socialmedia.socialflow.facebook.weltvideotv..socialflow_facebook,,"""Wir raten Angehörigen, mit 'Querdenkern' nicht zu diskutieren""",,,,,10.18
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546181,2527704,2021-05-05 17:33:00 CEST,2021-05-05,17:33:00,Link,"3,839",192,1988,492,3,61,991,96,14,2,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160630823235730,"Jetzt wurde auch in einem weiteren Kreis die Hasen-Pest nachgewiesen. Jeder dritte infizierte Mensch stirbt, wenn er nicht behandelt wird.",https://www.bild.de/regional/duesseldorf/duesseldorf-aktuell/hasen-pest-auch-im-kreis-viersen-warnung-vor-kontakt-mit-tieren-76294536.bild.html,,,Warnung vor Kontakt: Die tödliche Hasen-Pest breitet sich weiter aus,"Nachdem bereits im Kreis Mettmann die für Menschen potenziell tödliche Hasen-Pest nachgewiesen wurden, schlägt nun auch der Kreis Viersen Alarm.",,,,10.13
